category,name,address,city,state,zipcode,location,employees,id,mass_tech_member,slug,description
Drug Development,Arietis Corporation,650 Albany Street,Boston,MA,2118,"650 Albany Street, Boston, MA2118",0,74,FALSE,arietis-corporation,"Arietis is a Boston-based biotechnology company focused on the discovery and development of novel antimicrobial agents, including both sterilizing antifungals and a new class of antibacterial agents called &ldquo;prodrug antibiotics&rdquo;.  Founded in 2006, the Arietis approach and technology are totally novel and will bridge the current vacuum in antimicrobial therapeutics. Arietis has forged productive alliances and partnerships within the biotechnology community that advance our capacity to develop effective drug products.  We are committed to providing innovative solutions to the problem of persistent infections, thereby decreasing the burden on health systems worldwide.<p>    <p>The company was created based on technology invented by its founder, Professor Kim Lewis, Director of the Antimicrobial Center at Northeastern University, for which the company has obtained exclusive, world-wide licenses.   Arietis is led by Dr. Thomas A. Dahl, CEO, an experienced business executive and drug developer."
Drug Development,Arisaph Pharmaceuticals Inc,100 High St Suite 1202,Boston,MA,2110,"100 High St Suite 1202, Boston, MA2110",5,75,TRUE,arisaph-pharmaceuticals-inc,
Drug Development,"Ariston Pharmaceuticals, Inc.",P.O. Box 69,Shrewsbury,MA,1545,"P.O. Box 69, Shrewsbury, MA1545",0,76,FALSE,ariston-pharmaceuticals-inc,"Ariston Pharmaceuticals, Inc. (formerly VitaMed, Inc.) is a specialty pharmaceutical company focused on the in-licensing, development and rapid commercialization of human therapeutics in the pain/CNS and other areas and respiratory/pulmonary areas.  The Company has successfully in-licensed and is currently developing proprietary products for the treatment of certain neurological and anemia disorders and for migraine prophylaxis. These products, delivered by nasal spray, have been shown safe and effective in previous clinical studies. Ariston intends to develop sales and marketing capabilities to launch its first product.  Headquartered in Framingham, MA, Ariston has established partnerships in manufacturing, formulation, regulatory affairs and clinical development to meet all of the Company’s current development needs.  Ariston is seeking to in-license additional clinical stage products that strategically complement the current portfolio."
Academic,Arluk Technologies Llc Dba Robotech Center,3i Taggart Dr Green Ridge Park,Nashua,NH,3060,"3i Taggart Dr Green Ridge Park, Nashua, NH3060",5,810,FALSE,arluk-technologies-llc-dba-robotech-center,
Agricultural/Industrial Biotechnology,Aroostook Testing And Consulting Laboratory Inc,160 Airport Dr,Presque Isle,ME,4769,"160 Airport Dr, Presque Isle, ME4769",7,811,FALSE,aroostook-testing-and-consulting-laboratory-inc,
Human Diagnostic Development,Arp - American Research Products Inc,135 Beaver St Suite 204,Waltham,MA,2452,"135 Beaver St Suite 204, Waltham, MA2452",5,812,FALSE,arp-american-research-products-inc,
Drug Development,Arqule Inc,19 Presidential Way,Woburn,MA,1801,"19 Presidential Way, Woburn, MA1801",115,77,TRUE,arqule-inc,
Drug Development,Arrien Pharmaceuticals Llc,121 Wakelee Ave,Ansonia,CT,6401,"121 Wakelee Ave, Ansonia, CT6401",3,813,FALSE,arrien-pharmaceuticals-llc,
Medical Device,Arsenal Medical,480 Arsenal St,Watertown,MA,2172,"480 Arsenal St, Watertown, MA2172",0,814,TRUE,arsenal-medical,
Human Diagnostic Development,Artemis Health Inc,"480 Arsenal Street, Suite 130",Watertown,MA,2472,"480 Arsenal Street, Suite 130, Watertown, MA2472",0,78,FALSE,artemis-health-inc,"Previously known as Living MicroSystems, we have chosen a new name to reflect the importance of our mission—ARTEMIS, the Olympian goddess of hunting, was the protector of pregnant women and childbirth.    Our technology will provide women with a simple, non-invasive, and accurate alternative to testing methods available today. With a single blood draw early in pregnancy, our test will provide valuable information without risk to the mother or her fetus.    With our proprietary microfluidic technology, we successfully and reliably recover intact nucleated red blood cells (nRBCs) from maternal blood samples. In the laboratory our device gently separates these rare cells of interest from the billions of contaminating background cells. The result is an unparalleled recovery of intact nRBCs that provide important clinical information.    These rare nRBCs are present in the mother’s blood throughout pregnancy, even in the early stages, and reveal a wealth of information regarding the well-being of both the mother and fetus. Pioneering work by Diana Bianchi, MD and colleagues has shown the significance of these cells in the development of a non-invasive prenatal test. Unlike fragments of DNA, these intact cells provide a complete genetic picture with the highest confidence of fetal origin.    Working in collaboration with leading research and clinical institutions, we have developed cutting edge technology that we believe will transform the field of prenatal testing."
Medical Device,Arteriocyte Medical Systems Inc.,45 South St,Hopkinton,MA,1748,"45 South St, Hopkinton, MA1748",0,79,FALSE,arteriocyte-medical-systems-inc,"Arteriocyte Medical Systems, Inc. is a leading medical device company committed to developing and marketing novel medical products to improve surgical outcomes. Established in 2007 by Arteriocyte, Inc. and DW Healthcare Partners, Arteriocyte Medical Systems is devoted to providing innovative solutions to patients and medical professionals to address serious unmet medical needs particularly in cardiac, orthopedic and vascular surgeries.  Arteriocyte is a clinical stage research and development biotechnology company that is developing proprietary, non-embryonic stem cell-based therapies targeted for the treatment of ischemia in patients suffering from coronary artery disease, peripheral vascular disease, stroke, and renal ischemia. The Company was founded in January of 2004  based upon more than four years of NIH-sponsored research utilizing stem cells to stimulate angiogenesis (new vessel growth). Arteriocyte’s ultimate goal is to develop umbilical cord blood - a rich source of stem cells - as the basis for the company’s future cellular medicines.  The company is currently conducting a Phase I clinical trial in the US (under an FDA approved IND) for an adult, bone-marrow-derived stem cell therapy designed to generate new blood vessels in ischemic tissues in patients suffering Chronic Ischemia. The clinical study is underway at University Hospitals of Cleveland."
Medical Device,Arthrosurface,28 Forge Pkwy,Franklin,MA,2038,"28 Forge Pkwy, Franklin, MA2038",0,815,FALSE,arthrosurface,
Contract Research & Manufacturing,Artificial Cell Technologies Inc,5 Science Park Suite 13,New Haven,CT,6511,"5 Science Park Suite 13, New Haven, CT6511",0,816,FALSE,artificial-cell-technologies-inc,
Contract Research & Manufacturing,Arvys Proteins Inc,76 Progress Dr,Stamford,CT,6902,"76 Progress Dr, Stamford, CT6902",10,817,FALSE,arvys-proteins-inc,
Drug Development,Asahi Kasei Pharma America Corp,200 Fifth Avenue,Waltham,MA,2451,"200 Fifth Avenue, Waltham, MA2451",20,818,TRUE,asahi-kasei-pharma-america-corp,
Contract Research & Manufacturing,Asaman Inc,258 Bodwell St,Avon,MA,2322,"258 Bodwell St, Avon, MA2322",11,81,TRUE,asaman-inc,
Contract Research & Manufacturing,Ash Stevens Inc,1 Broadway 14th Floor,Cambridge,MA,2142,"1 Broadway 14th Floor, Cambridge, MA2142",65,82,TRUE,ash-stevens-inc,
Medical Device,Asia Medsource,88 Goodwin Rd,Eliot,ME,3903,"88 Goodwin Rd, Eliot, ME3903",5,819,FALSE,asia-medsource,
Contract Research & Manufacturing,Asischem Inc,738 Main St #205,Waltham,MA,2451,"738 Main St #205, Waltham, MA2451",4,820,FALSE,asischem-inc,
Unknown,Asmacure Ltee,,,,,", , ",0,83,FALSE,asmacure-ltee,
Agricultural/Industrial Biotechnology,Aspen Systems Inc,184 Cedar Hill St,Marlborough,MA,1752,"184 Cedar Hill St, Marlborough, MA1752",30,821,FALSE,aspen-systems-inc,
Research Products & Instrumentation,Assay Guru,245 Constitution Dr,Taunton,MA,2780,"245 Constitution Dr, Taunton, MA2780",20,822,FALSE,assay-guru,
Medical Device,Associated X-Ray Imaging Corp,49 Newark St,Haverhill,MA,1830,"49 Newark St, Haverhill, MA1830",40,823,FALSE,associated-x-ray-imaging-corp,
Research Products & Instrumentation,Associates Of Cape Cod Inc,124 Bernard E Saint Jean Dr,E Falmouth,MA,2536,"124 Bernard E Saint Jean Dr, E Falmouth, MA2536",125,84,TRUE,associates-of-cape-cod-inc,
Medical Device,Ast Products Inc,9 Linnell Cir,Billerica,MA,1821,"9 Linnell Cir, Billerica, MA1821",18,824,FALSE,ast-products-inc,
Drug Development,Asterand,TechOne Suite 501 440 Burroughs,Detroit,MI,48202,"TechOne Suite 501 440 Burroughs, Detroit, MI48202",0,85,FALSE,asterand,"Asterand plc is the leading global supplier of high quality, well characterized human tissue and human tissue-based research services to support those engaged in drug discovery &amp; development. Our mission is to accelerate target discovery and compound validation and enable pharmaceutical and biotechnology companies to take safer and more effective drugs into the clinic.<p>    <p>Pharmaceutical research is at a critical crossroads. Despite a dramatic increase in R&amp;D budgets, the number of new drug applications is falling because the failure rate in clinical trials remains high. Researchers have always known that animal models provide only a partial guide to drug response in humans. Thus, scientists are becoming increasingly reliant upon human tissue-based models to bridge this knowledge gap and improve decision making during the development of medicines for man.<p>    <p>Asterand is the leading company with extensive experience as a human tissue supplier and as a provider of human tissue-based drug discovery services. Formed in January 2006 from the merger of Asterand, a human tissue biorepository, and Pharmagene, a human tissue-based drug discovery company, we are uniquely positioned to provide a comprehensive approach to meet the research needs of pharmaceutical and biotechnology scientists from target identification through to compound evaluation and drug safety. <p>         <p>Asterand offers unparalleled access to human tissue through worldwide network of active donor institutions, each of which we collaborate with very closely. Our XpressBANK&trade; biobank contains several hundred thousand specimens from the broadest range of therapeutic areas and with the most diverse ethnic representation. Our tissues provide high value to our clients; the quantity of material provided for each sample allows scientists to conduct multiple experiments using a single specimen. In addition, our renowned quality assurance procedures provide stringent controls on specimen collection and characterization and on the corresponding clinical data. As part of this process, we also independently confirm pathology and assess RNA integrity of our tissues.  Our quality control results are provided to researchers before they purchase so they can choose samples that will best meet their scientific requirements.  Through our ProCURE&trade; service, human tissues and clinical data can also be custom collected to meet special requirements. This includes the collection of follow-up data related to patient outcome.<p>     <p>As a result of its history in drug discovery, Asterand&rsquo;s Services division offers exemplary scientific expertise in human tissue research and we have more than 10 years experience in providing top multinational pharmaceutical companies with human tissue-based services.   Through our PhaseZERO&reg; drug discovery services platform, we provide a collaborative scientific approach to deliver human tissue-based data on target &amp; biomarker validation as well as compound potency, efficacy, disposition and safety.  Our studies can be custom designed and are conducted on a fee-for-service basis where our clients own and retain all resulting IP and data.<p>     <p>Through this combination of an extensive tissue supply network and a proven track record in delivering research services, Asterand is uniquely positioned to provide a complete solution for human tissue research needs."
Drug Development,Asterand Inc,231 White St,Belmont,MA,2478,"231 White St, Belmont, MA2478",1,825,FALSE,asterand-inc,
Medical Device,Astir Technologies,1679 Lowell Rd,Concord,MA,1742,"1679 Lowell Rd, Concord, MA1742",2,826,FALSE,astir-technologies,
Medical Device,Astratech Inc,590 Lincoln St,Waltham,MA,2451,"590 Lincoln St, Waltham, MA2451",105,827,FALSE,astratech-inc,
Drug Development,Astrazeneca Pharmaceuticals Lp,35 Gatehouse Dr,Waltham,MA,2451,"35 Gatehouse Dr, Waltham, MA2451",0,828,TRUE,astrazeneca-pharmaceuticals-lp,
Drug Development,Astrazeneca R&D Boston,35 Gatehouse Drive,Waltham,MA,2451,"35 Gatehouse Drive, Waltham, MA2451",0,86,FALSE,astrazeneca-rd-boston,"AstraZeneca is a global, innovation-driven, integrated biopharmaceutical company. Our mission is to make a meaningful difference to patient health through great medicines that bring benefit for patients and add value for our stakeholders and society.We discover, develop, manufacture and market prescription medicines for six important areas of healthcare, which include some of the world’s most serious illnesses: cancer, cardiovascular, gastrointestinal, infection, neuroscience, and respiratory and inflammation.    The state-of-the-art AstraZeneca R&D Boston facility, located in Waltham, Massachusetts, reflects the innovative culture of AstraZeneca’s leading-edge pharmaceutical research.  The research conducted at AstraZeneca R&D Boston focuses on developing innovative new therapies for Infectious diseases, and cancer. In addition to these core therapy areas, the site is home to scientists working to identify new opportunities for patient health outside of our existing research areas, as well as business development professionals.       Our Infectious Disease Innovative Medicines Unit (iMed) conducts research from discovery to Clinical Proof of Concept (PoC - Phase II success).  Our focus is on delivering new medicines for the prevention and treatment of infectious diseases in areas of high unmet medical need, such as severe or drug-resistant bacterial infections and tuberculosis.    AstraZeneca R&D Boston adds important new resources to the Company’s world-leading research efforts in cancer.  Collaborative efforts within cancer research and chemical and biological technology development are strengthening the Company’s contributions to the creation of life-enhancing drugs for cancer patients.    R&D efforts are assisted by personalized healthcare and will help change how we develop drugs at AstraZeneca, improving the quality of our decision making and selecting the right patients and so delivering value to patients, payers, and prescribers.  "
Medical Device,Atech Designs Inc,3 Playhouse Cir,Hampton,NH,3842,"3 Playhouse Cir, Hampton, NH3842",5,829,FALSE,atech-designs-inc,
Contract Research & Manufacturing,"Athena Biotechnologies, Inc.",,,,,", , ",0,87,FALSE,athena-biotechnologies-inc,
Human Diagnostic Development,Athena Diagnostics Inc,377 Plantation St 4 Biotech Park,Worcester,MA,1605,"377 Plantation St 4 Biotech Park, Worcester, MA1605",125,88,TRUE,athena-diagnostics-inc,
Contract Research & Manufacturing,Atkinson Thin Film Systems Inc,25 Garland Dr,Hampstead,NH,3841,"25 Garland Dr, Hampstead, NH3841",4,830,FALSE,atkinson-thin-film-systems-inc,
Contract Research & Manufacturing,Atmi Inc,7 Commerce Dr,Danbury,CT,6810,"7 Commerce Dr, Danbury, CT6810",170,831,FALSE,atmi-inc,
Drug Development,"Atreaon, Inc.",1188 Centre St.,Newton Center,MA,2459,"1188 Centre St., Newton Center, MA2459",0,89,FALSE,atreaon-inc,"Atreaon, Inc., is a privately held biopharmaceutical company developing a novel engineered protein called Atsttrin, for the treatment of inflammatory diseases such as rheumatoid arthritis. Atreaon recently completed a $20 million Series A financing to support the pre-clinical development of Atsttrin.    "
Medical Device,Atrium Medical Corp,5 Wentworth Dr,Hudson,NH,3051,"5 Wentworth Dr, Hudson, NH3051",270,832,FALSE,atrium-medical-corp,
Medical Device,Ats Laboratories Inc,404 Knowlton St,Bridgeport,CT,6608,"404 Knowlton St, Bridgeport, CT6608",8,833,FALSE,ats-laboratories-inc,
Medical Device,Audax Medical Inc,119 Russell St Suite 4,Littleton,MA,1460,"119 Russell St Suite 4, Littleton, MA1460",0,834,FALSE,audax-medical-inc,
Medical Device,Augmenix Inc,204 2nd Ave Lower Level,Waltham,MA,2451,"204 2nd Ave Lower Level, Waltham, MA2451",0,835,FALSE,augmenix-inc,
Medical Device,Augmentrx Life Sciences,43 Riverside Ave Suite 444,Medford,MA,2155,"43 Riverside Ave Suite 444, Medford, MA2155",3,836,FALSE,augmentrx-life-sciences,
Drug Development,Aura Biosciences Inc,85 Bolton St.,Cambridge,MA,2140,"85 Bolton St., Cambridge, MA2140",0,837,TRUE,aura-biosciences-inc,
Research Products & Instrumentation,Aushon Biosystems Inc,43 Manning Rd,Billerica,MA,1821,"43 Manning Rd, Billerica, MA1821",45,91,TRUE,aushon-biosystems-inc,
Disease Foundation,Autism Consortium,10 Shattuck St Suite 249,Boston,MA,2115,"10 Shattuck St Suite 249, Boston, MA2115",0,838,TRUE,autism-consortium,
Research Products & Instrumentation,Autogen,84 October Hill Rd,Holliston,MA,1746,"84 October Hill Rd, Holliston, MA1746",10,839,FALSE,autogen,
Medical Device,Automated Medical Instruments Inc,60 Richard Road,Needham,MA,2492,"60 Richard Road, Needham, MA2492",1,840,FALSE,automated-medical-instruments-inc,
Contract Research & Manufacturing,"Avatar Pharmaceutical Services, Inc.",257 Simarano Drive,Marlborough,MA,1752,"257 Simarano Drive, Marlborough, MA1752",0,92,FALSE,avatar-pharmaceutical-services-inc,"Avatar was founded in January 2002, and has recently moved into its new, 10,000 sq.ft., location in Marlboro MA.  Avatar is a contract research organization, with a specialty in nucleic acid analysis, offering analytical services to the (bio)pharmaceutical industry.     Avatar&rsquo;s service offerings are built around client&rsquo;s needs and backed by an uncompromising commitment to excellence and quality.  From testing a single sample to designing and managing stability studies, Avatar offers a full range of analytical services in compliance with cGMP requirements.   ICH stability programs are performed in fully mapped, validated environmental chambers all monitored 24/7 to ensure integrity.  Our methods development and validation services deliver information-rich, verifiable results in all key areas.  Avatar also offers forced degradation studies and supports dynamic client manufacturing programs.      For many companies, the biggest challenge isn&rsquo;t the science; it&rsquo;s negotiating the regulatory approval process.  At Avatar, we know that process well, so we can help you avoid the errors and misjudgments that can prolong or derail it.    A complete listing of our services is on our web site (www.avatarps.com), but an abbreviated list of our analytical services follows for convenience.    GMP Analytical Servies:    -Method development and validation:     oLCMS     oHPLC (IEX, RP, SEC)     oCGE     oUV     oThermal Melt (Tm)      oFTIR     oKF  -Forced degradation studies     oAcid     oBase     oOxidation     oHeat     oPhoto   -ICH Stability programs (storage and testing)     oAPI     oFDP     oRaw materials     oImpurities     oChemicals  -Immunoassays (ELISAs)  -Microbial assays     oBioburden     oLAL  -Turbiometric  -Gel clot  -Molar extinction coefficient determination -Dissolution -Solubility"
Drug Development,Avaxia Biologics Inc,128 Spring St Suite 620,Lexington,MA,2421,"128 Spring St Suite 620, Lexington, MA2421",11,93,TRUE,avaxia-biologics-inc,
Contract Research & Manufacturing,Aved Electronics Inc,95 Billerica Ave,N Billerica,MA,1862,"95 Billerica Ave, N Billerica, MA1862",96,841,FALSE,aved-electronics-inc,
Medical Device,Avedro Inc,230 Third Ave,Waltham,MA,2451,"230 Third Ave, Waltham, MA2451",0,842,FALSE,avedro-inc,
Drug Development,Aveo Oncology,"75 Sidney Street, 4th Floor",Cambridge,MA,2139,"75 Sidney Street, 4th Floor, Cambridge, MA2139",0,94,FALSE,aveo-oncology,"AWe are united in our efforts to provide patients with reasons to believe that they can receive effective treatments while carrying on with their daily living.     AVEO Oncology is founded on a unique drug discovery and development approach called the Human Response Platform™. With it, we aim to translate cancer biology insights into next generation therapeutics targeted to specific patients living with cancer who will benefit most.     The Human Response is more than a novel biology platform – it is our way of responding to the needs of the cancer community with integrity, fierce determination and compassion combined with the confidence that we will transform the lives of those impacted by cancer.    "
Drug Development,Aveo Pharmaceuticals,75 Sidney St,Cambridge,MA,2139,"75 Sidney St, Cambridge, MA2139",200,843,TRUE,aveo-pharmaceuticals,
Contract Research & Manufacturing,Averica Discovery Services,"One Innovation Drive, Three Biotech",Worcester,MA,1605,"One Innovation Drive, Three Biotech, Worcester, MA1605",0,95,FALSE,averica-discovery-services,"Averica Discovery Services offers specialized separation and purification services to drug discovery and early development teams. Our approach is based on supercritical fluid chromatography (SFC), a highly efficient 'green' chemistry technology that is particularly effective in complex and difficult separation problems. Averica specializes in chiral compounds, and offers enantiomeric resolution on a discovery scale (5 mg to 50 g) to companies with chiral lead-seeking or lead development programs in progress. Averica has ongoing research Programs focused on improvements in chromatographic methodology for pharmaceutical applications, with the goal of improving industry efficiency and lowering costs."
Contract Research & Manufacturing,Averica Discovery Services Inc,1 Innovation Dr 3 Biotech,Worcester,MA,1605,"1 Innovation Dr 3 Biotech, Worcester, MA1605",7,844,FALSE,averica-discovery-services-inc,
Drug Development,"Avila Therapeutics, Inc",45 Wiggins Avenue,Bedford,MA,1730,"45 Wiggins Avenue, Bedford, MA1730",0,96,FALSE,avila-therapeutics-inc,"Avila Therapeutics, Inc., is a venture-backed company focused on the discovery and development of novel small molecule therapeutics to address significant unmet clinical needs with an initial focus on cancer and viral diseases."
Medical Device,Axena Technologies,One Davol Sq Suite 200,Providence,RI,2903,"One Davol Sq Suite 200, Providence, RI2903",0,845,FALSE,axena-technologies,
Drug Development,Axerion Therapeutics Inc,555 Long Wharf Dr 11 Floor,New Haven,CT,6511,"555 Long Wharf Dr 11 Floor, New Haven, CT6511",9,846,FALSE,axerion-therapeutics-inc,
Drug Development,Axios Biosciences,,,MA,,", , MA",0,847,FALSE,axios-biosciences,
Unknown,"Azopax Therapeutics, Inc.",100 Beaver Street,Waltham,MA,2453,"100 Beaver Street, Waltham, MA2453",0,97,FALSE,azopax-therapeutics-inc,"Azopax Therapeutics, Inc. is an emerging specialty pharmaceutical company developing sophisticated time-release, injectable, microsphere formulations, which enable improved delivery of pharmaceutical and biopharmaceutical products.  Azopax’s product pipeline of 2nd generation protein and peptide drugs is focused upon treatment of diabetes, cancer, obesity and endocrine disorders.  Unlike other drug delivery technologies, Azopax’s microsphere formulations deliver protein and peptide drugs without burst (high peak levels, which cause side effects); with the steady blood levels required for optimal efficacy; and with other product features required for superior performance."
Research Products & Instrumentation,Aztec Technologies,36 Mechanic St Suite 207,Foxboro,MA,2035,"36 Mechanic St Suite 207, Foxboro, MA2035",0,98,FALSE,aztec-technologies,"Aztec Technologies is a manufacturing and information management firm founded by industry experts, for industry experts.  Our team is comprised of consultants with experience both leading and executing projects in the industries we serve.  As a result, we design and implement our projects with a strong understanding of what our clients need and with their best interest in mind.  We are proven in Global top 10 Pharmaceutical and Water/Wastewater firms delivering projects ranging from industrial control and automation to enterprise systems (i.e. &ndash; LIMS, CAPA, and CMMS) and services including project management, design, implementation, and validation."
Medical Device,B - K Medical Systems Inc,8 Centennial Dr,Peabody,MA,1960,"8 Centennial Dr, Peabody, MA1960",100,848,FALSE,b-k-medical-systems-inc,
Academic,Babson Executive Education,231 Forest St,Babson Park,MA,2457,"231 Forest St, Babson Park, MA2457",0,849,TRUE,babson-executive-education,
Drug Development,Bach Pharma,800 Turnpike Street Suite 300,North Andover,MA,1845,"800 Turnpike Street Suite 300, North Andover, MA1845",0,99,FALSE,bach-pharma,"Bach Pharma Inc. is a privately held pharmaceutical company focused on developing, manufacturing and licensing a series of worldwide patent-protected products to address a multiplicity of diseases.  Target potential indications of its products include use as adjunct therapy for halting or slowing the progression of neural-inflammation common in many diseases such as Alzheimer&rsquo;s, ataxia-telangiectasia, amyotrophic lateral sclerosis, multiple sclerosis and Parkinson&rsquo;s disease.</p>  <p>Bach has assembled a prestigious Neurodegeneration Research Advisory Board comprised of faculty members, researchers, scientists, MBAs and regulatory affairs professionals from all across the USA.  The goal of this team is to prepare clinical trial protocols and create &ldquo;disease progression models&rdquo; whereby early detection of all neurodegenerative diseases may be identified, measured and treated.</p>  <p>Bach is committed to develop its products with strict adherence to FDA standards, develop and demonstrate superior manufacturing capabilities, and maximize its commercial potential through strategic pharmaceutical partnerships.</p>"
Drug Development,Bach Pharma Inc,800 Turnpike St Suite 300,N Andover,MA,1845,"800 Turnpike St Suite 300, N Andover, MA1845",7,850,TRUE,bach-pharma-inc,
Contract Research & Manufacturing,Bar Harbor Biotechnology Inc,18 River Field Rd,Trenton,ME,4605,"18 River Field Rd, Trenton, ME4605",0,851,FALSE,bar-harbor-biotechnology-inc,
Medical Device,Bard Davol,100 Crossing Blvd,Warwick,RI,2886,"100 Crossing Blvd, Warwick, RI2886",100,852,FALSE,bard-davol,
Medical Device,"Bard Electrophysiology, Division Of C R Bard Inc",55 Technology Dr,Lowell,MA,1851,"55 Technology Dr, Lowell, MA1851",100,853,FALSE,bard-electrophysiology-division-of-c-r-bard-inc,
Medical Device,Baril Corp,50 Ward Hill Ave,Haverhill,MA,1835,"50 Ward Hill Ave, Haverhill, MA1835",31,854,FALSE,baril-corp,
Medical Device,Baron Machine Co Inc,O'Shea Industrial Park 40 Primrose Dr,Laconia,NH,3246,"O'Shea Industrial Park 40 Primrose Dr, Laconia, NH3246",70,855,FALSE,baron-machine-co-inc,
Medical Device,Bartron Medical Imaging Inc,91 Shelton Ave,New Haven,CT,6511,"91 Shelton Ave, New Haven, CT6511",4,856,FALSE,bartron-medical-imaging-inc,
Drug Development,Basilea Labs,300 Brickstone Square Suite 503,Andover,MA,1810,"300 Brickstone Square Suite 503, Andover, MA1810",0,100,FALSE,basilea-labs,"Basilea Labs is an independent biopharmaceutical company focused on new antibacterial and antifungal agents to fight drug resistance and on the development of dermatology drugs.  The home office is being established in Andover, MA.  Its initial focus will be on commercializing these promising products."
Contract Research & Manufacturing,Batavia Bioservices Inc,300 Trade Center Suite 6650,Woburn,MA,1801,"300 Trade Center Suite 6650, Woburn, MA1801",5,857,TRUE,batavia-bioservices-inc,
Contract Research & Manufacturing,"Battellecro, Inc.",180 Wells Avenue,Newton,MA,2459,"180 Wells Avenue, Newton, MA2459",0,102,FALSE,battellecro-inc,
Drug Development,Baxter Healthcare,220 Norwood Park South,Norwood,MA,2062,"220 Norwood Park South, Norwood, MA2062",0,103,FALSE,baxter-healthcare,"Baxter Healthcare Corporation, is developing proprietary                                                  formulation technology platform,                                             PROMAXX at their facility in                                                 Norwood MA. The technology,                                                  based on controlled phase                                                    separation, allows the formation                                             of microspheres that have a                                                  broad range of applications -                                                from the formulations of                                                     proteins and peptides for                                                    pulmonary delivery to the                                                    formulation of highly                                                        concentrated suspension of                                                   monoclonal antibodies and other                                              proteins for Subcutaneous                                                    injection. Baxter offers                                                     potential partners the                                                       opportunity to assess the                                                    feasibility of developing                                                    innovative formulations and                                                  product profiles for their                                                   molecules and if successful to                                               manufacture clinical grade                                                   material."
Medical Device,Bay Innovation Group Llc,60 Orchard St,Jamaica Plain,MA,2130,"60 Orchard St, Jamaica Plain, MA2130",0,858,FALSE,bay-innovation-group-llc,
Unknown,Bd Biosciences,6 Henshaw Street,Woburn,MA,1801,"6 Henshaw Street, Woburn, MA1801",0,104,FALSE,bd-biosciences,
Research Products & Instrumentation,Bd Biosciences - Discovery Labware,"296 Concord Road, Suite 280",Billerica,MA,1821,"296 Concord Road, Suite 280, Billerica, MA1821",0,105,FALSE,bd-biosciences-discovery-labware,"BD Biosciences, made up of three business units&mdash;Discovery Labware, Immunocytometry Systems, and Pharmingen&mdash;is one of the world&rsquo;s leading businesses focused on bringing innovative research and clinical tools to life scientists and clinicians. BD Biosciences customers are involved in basic research, cell biology, drug and vaccine discovery and development, clinical trials, and diagnostic testing and disease management. This diverse customer base includes academic and government institutions, pharmaceutical and biotech companies, and the clinical segment.    In the research products sector, BD Biosciences maintains a leadership position by offering extremely capable instruments; a broad line of monoclonal antibody-based reagents; consistently reliable labware, cell culture surfaces, and cell culture media; ADME/Tox products and services; and imaging instruments that enable real-time imaging of live cell processes. In the clinical products sector, BD Biosciences&rsquo; platforms are considered to be the &ldquo;gold standard&rdquo; for CD4 testing, used for HIV/AIDS therapy monitoring and leukemia/lymphoma typing."
Medical Device,Beaver-Visitec International Inc,411 Waverley Oaks Rd,Waltham,MA,2452,"411 Waverley Oaks Rd, Waltham, MA2452",200,859,FALSE,beaver-visitec-international-inc,
Research Products & Instrumentation,Beckman Coulter Genomics,36 Cherry Hill Dr,Danvers,MA,1923,"36 Cherry Hill Dr, Danvers, MA1923",110,860,FALSE,beckman-coulter-genomics,
Disease Foundation,Bedford Stem Cell Research Foundation,P O Box 1028,Bedford,MA,1730,"P O Box 1028, Bedford, MA1730",3,861,TRUE,bedford-stem-cell-research-foundation,
Agricultural/Industrial Biotechnology,Bedoukian Research Inc,21 Finance Dr,Danbury,CT,6810,"21 Finance Dr, Danbury, CT6810",45,862,FALSE,bedoukian-research-inc,
Medical Device,Belmont Instrument Corp,780 Boston Rd,Billerica,MA,1821,"780 Boston Rd, Billerica, MA1821",55,863,FALSE,belmont-instrument-corp,
Academic,Bentley University,175 Forest St,Waltham,MA,2452,"175 Forest St, Waltham, MA2452",0,864,TRUE,bentley-university,
Contract Research & Manufacturing,Bepeterson Inc,40 Murphy Dr,Avon,MA,2322,"40 Murphy Dr, Avon, MA2322",80,865,FALSE,bepeterson-inc,
Human Diagnostic Development,Berg Diagnostics,12 Michigan Drive,Natick,MA,1760,"12 Michigan Drive, Natick, MA1760",0,107,FALSE,berg-diagnostics,"Berg Diagnostics is a Boston based molecular diagnostics company that offers high-throughput omics-based molecular profiling, biomarker validation, and regulated bioanalysis to accelerate development of molecular therapeutics and diagnostics. Armed with the state-of-the-art instrumentation platforms, the company serves to catalyze project end-points in therapeutic and biomarker development.     "
Drug Development,Berg Pharma,12 Michigan Drive,Natick,MA,1760,"12 Michigan Drive, Natick, MA1760",0,108,FALSE,berg-pharma,"Berg Pharma is a discovery based company based in Boston, MA with specific focus on alterations in metabolism as it relates to disease onset.  Notable focus areas are cancer, diabetes, and cardiovascular disease.  The company has a deep pipeline of early-stage technologies that complement its late-stage clinical trial activity in cancer.  Armed with use of a novel discovery platform that translates into viable therapeutics and a robust biomarker library, Berg Pharma is poised to forge its pursuit of a healthier tomorrow.    "
Research Products & Instrumentation,Berkshire Corp,21 River St,Great Barrington,MA,1230,"21 River St, Great Barrington, MA1230",0,866,FALSE,berkshire-corp,
