Name,CompanyName,Subcategory,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,Country,Description
Berg Biosystems,BERG BIOSYSTEMS,Drug Development,12 Michigan Drive,,,Natick,MA,01760,USA,Berg Biosystems is a Boston based company that employs a novel approach to systems biology and utilizes systems engineering and bioinformatic modules to cross-validate biological output. The Berg Human Disease Drug Discovery Platform allows for rapid and precise identification of therapeutic and biomarker candidates for drug discovery and development.  The company uses network biology templates to mine disease pathophysiology.
Berg Diagnostics,BERG DIAGNOSTICS,Human Diagnostic Development,12 Michigan Drive,,,Natick,MA,01760,USA,"Berg Diagnostics is a Boston based molecular diagnostics company that offers high-throughput omics-based molecular profiling, biomarker validation, and regulated bioanalysis to accelerate development of molecular therapeutics and diagnostics. Armed with the state-of-the-art instrumentation platforms, the company serves to catalyze project end-points in therapeutic and biomarker development.     "
Berg Pharma,BERG PHARMA,Drug Development,12 Michigan Drive,,,Natick,MA,01760,USA,"Berg Pharma is a discovery based company based in Boston, MA with specific focus on alterations in metabolism as it relates to disease onset.  Notable focus areas are cancer, diabetes, and cardiovascular disease.  The company has a deep pipeline of early-stage technologies that complement its late-stage clinical trial activity in cancer.  Armed with use of a novel discovery platform that translates into viable therapeutics and a robust biomarker library, Berg Pharma is poised to forge its pursuit of a healthier tomorrow.    "
Beta-Pro LLC,BETA-PRO LLC,Contract Research & Manufacturing,1670 Discovery Drive #240,,,Charlottesville,VA,22911,USA,"Beta-Pro LLC isolates and distributes human islet cells, acinar tissue, hepatocytes, adipose-derived stem cells, mesenchymal stem cells, and other biomaterials from surplus organs not placed for whole organ transplant in GMP and GLP facilities. Beta-Pro charges and recovers fees for the costs for organ procurement, processing, preservation, quality control, storage, handling, and delivery of islets, other biomaterials, and biological data.   "
"BG Medicine, Inc.","BG MEDICINE, INC.",Human Diagnostic Development,610 North Lincoln Street,,,Waltham,MA,02451,USA,"BG Medicine is pioneering the commercial application of Systems Pharmacology, which is based on scientific advances in the Systems Biology field. Its advanced proprietary platform enables novel paths to new medicines through molecular fingerprinting of genes, proteins, and metabolites combined with powerful bioinformatics integration to produce Systems Response Profiles TM. These profiles, which combine information from multiple physiological compartments and often include thousands of distinct analyte levels, have enabled unprecedented molecular characterization of disease states and drug responses. BG Medicine applies its novel approach through collaborations with leading pharmaceutical companies.&nbsp; Founded in 2000 and located in Waltham, Mass., BG Medicine is backed by Flagship Ventures and Gilde Investment Management."
"BIND Biosciences, Inc","BIND BIOSCIENCES, INC",Drug Development,325 Vassar Street,,,Cambridge,MA,02139,USA,"BIND Biosciences, Inc. is a venture backed biopharmaceutical company focused on engineering targeted therapeutics. BIND's technology was developed by world class laboratories at MIT and Harvard."
Bio X Cell,BIO X CELL,Research Products & Instrumentation,"10 Technology Drive, 2B",,,West Lebanon,NH,03783,USA,"Bio X Cell is a biotechnology company that manufactures high quality, bulk quantity (milligram to gram) monoclonal antibodies for biomedical research. All of our antibodies are of high purity and low endotoxin levels, thus suited for in-vivo preclinical studies. Bio X Cell custom produces recombinant proteins using state of the art fermentation and purification technology."
Bio-Concept Laboratories,BIO-CONCEPT LABORATORIES,Contract Research & Manufacturing,13 Industrial Way,,,Salem,NH,03079,USA,"BioConcept Laboratories, Inc. is a full-service FDA registered product  development laboratory located North of Boston in Derry, New Hampshire. A portion of the facility is used for chemical, biochemical, and microbiological functions. The remainder is dedicated to an aseptic fill suite for the customized manufacture of sterile clinical and toxicological products. We offer quality service with the communication and flexibility that is vital for a successful collaboration. Our service is customized according to your needs. It is our mandate to compile a complete product profile leading to a timely and successful launch of your product."
Bioactives,BIOACTIVES,Drug Development,1 Dix Street,,,Worcester,MA,01609,USA,"BioActives develops value-added and high-margin ingredients for nutraceuticals marketed under the MicroActive™ trademark. The Company uses a combination of its NanoNutrient™ Technology and its commercial-process development capability to produce ingredients that fall into “replacement”,  “improved” or “break-through” product categories. In general, development focuses on lipophilic compounds that, as a class, have demonstrated poor bioavailability and inconsistent uptake.  BioActives' produces its own ingredients through a ""captive"" processing company in Southern India operating under its direction and using its patented or proprietary processes. Technology transfer is simplified and expedited as BioActives owns much of the equipment in this facility and can therefore easily transfer bench-top processes to be scaled up. The Company's independent agents in India assure quality control through GMP inspections and independent product testing. Processes comprising its NanoNutrient™ Technology are developed at the research facility in Worcester, MA, and either commercialized at that facility, at the captive company, or through toll processing arrangements."
BioAssets Development Corp.,BIOASSETS DEVELOPMENT CORP.,Drug Development,888 Worcester Street,Suite 95,,Wellesley,MA,02482,USA,"BioAssets Development Corporation (BDC) is pioneering novel indications for marketed and emerging biologic drugs.  The Company’s lead initiative focuses on the development of cytokine inhibitors to treat the underlying causes of pain in spinal disorders.  BDC offers customized collaborations tailored to maximize the value of partners’ core assets by expanding the indications of successful biologic drugs.    By using drugs already proven safe and effective for other indications, BDC’s approach could streamline development, thereby shortening the time required to develop and test optimized therapeutic regimens for specific patient populations, and to make these novel treatments available to patients and physicians.    "
Biocell Center Corporation,BIOCELL CENTER CORPORATION,Agricultural / Industrial Biotechnology,200 Boston Avenue,Suite 1550,,Medford,MA,02155,USA,"Biocell Center is a biotech company that offers the cryopreservation of amniotic fluid containing stem cells as well as supports external research collaborations for developing the amniotic stem cell medical applications.  <p>Biocell Center was launched in Europe several years ago by the distinguished medical doctors following the discovery that amniotic stem cells possess unique characteristics compared to the cells derived from other sources, and has since built a laboratory and amniotic stem cell bank that focuses on the standardization and optimization of the cryopreservation protocol of the amniotic fluid and offers the option to preserve this important biological material to the individual families and to the medical centers.  <p>Biocell Center has been successfully collaborating with many leading hospitals, Ob/Gyn, maternal-fetal health groups and stem cell research laboratories world wide, and currently has offices and laboratories in Milan (Italy), Lugano (Switzerland), and Medford (MA, USA.)    <p>www.biocellcenter.com   "
Biocius Life Sciences,BIOCIUS LIFE SCIENCES,Research Products & Instrumentation,11 Audubon Road,,,Wakefield,MA,01880,USA,"BIOCIUS Life Sciences, named from the Greek word “BIO” (life) and the Latin word “OCIUS” (faster), provides the biopharmaceutical industry with faster answers:  Products and services committed to speed and accuracy to help exceed business goals. The RapidFire® platform technology feeds samples directly to the mass spectrometer, requiring no labels or surrogates, helping to eliminate the bottleneck of samples that require screening in the drug discovery process.  RapidFire Mass Spectrometry is routinely used in many applications including the high-throughput screening of previously intractable drug targets and in vitro ADME assays.  BIOCIUS offers RapidFire instrumentation as well as contract research services for lead discovery and in vitro ADME applications.  Our expert scientists work closely with our collaborators to maximize research success.    "
BioFocus,BIOFOCUS,Contract Research & Manufacturing,Chesterford Research Park,,,Saffron Walden,Essex,CB10 1XL,United Kingdom,"BioFocus provides integrated drug discovery that delivers pre-clinical drug candidates in all therapeutic areas with strong capability in neurodegenerative diseases, inflammatory diseases and with a growing track record of delivering candidates against rare and neglected diseases.     BioFocus has advanced and comprehensive drug discovery capabilities that are applied to client projects to deliver targets, hits, leads and candidate pre-clinical drugs.  The company employs over 220 exceptionally qualified and industry experienced scientists at its three research centers in the UK, Switzerland and the Netherlands.    Since its foundation in 1997, BioFocus has striven to produce high quality data for its clients and this quality is assured by ISO9001 qualification validated by regular, independent inspection of all BioFocus research centers.  "
Biogen Idec,BIOGEN IDEC,Drug Development,133 Boston Post Road,,,Weston,MA,02493,USA,"Biogen Idec creates new standards of care in therapeutic areas with high unmet medical needs. Founded in 1978, Biogen Idec is a global leader in the discovery, development, manufacturing, and commercialization of innovative therapies. Patients in more than 90 countries benefit from Biogen Idec's significant products that address diseases such as lymphoma, multiple sclerosis, and rheumatoid arthritis. For product labeling, press releases and additional information about the company, please visit www.biogenidec.com."
BioHelix Corporation,BIOHELIX CORPORATION,Human Diagnostic Development,500 Cummings Center Suite 5550,,,Beverly,MA,01915,USA,"BioHelix develops and commercializes simple and cost-effective molecular diagnostic tests based on its proprietary isothermal Helicase Dependent Amplification  (HDA) technology. By combining HDA with an disposable amplicon detection device, the company's  IsoAmp® assays enable rapid detection of infectious diseases and genetic variations at near patient settings and in small laboratories. "
"Biomedical Research Models, Inc","BIOMEDICAL RESEARCH MODELS, INC",Contract Research & Manufacturing,67 Millbrook Street,,,Worcester,MA,01606,USA,"As an industry leader in contract research, BRM/Biomere LLC provides quality, customized preclinical research for clients from the discovery through the development process. Specializing in  autoimmune disease, metabolic disease and virology, our team has extensive knowledge of type 1 and type 2 diabetes (and their associated complications), rheumatoid arthritis, multiple sclerosis, inflammatory bowel disease, lupus, metabolic syndrome, obesity, cytomegalovirus , parvovirus, herpes simplex virus  2, lymphocytic choriomeningitis virus, and influenza. The USPHS-NIH-NIDDK has chosen BRM/Biomere as their designated testing center for the Type1 Diabetes Preclinial Testing Program Rapid Access to Intervention Development (T1D PTP RAID) program. Since 1977 BRM scientists have developed and maintained proprietary disease rat models. Recently, USPHS-NIH-NIAID awarded BRM/Biomere a long term contract to develop novel animal models of infectious disease. We are also a reliable choice for colony management for transgenic murine models. The company offers detailed genetic database management, quarantine housing, phenotyping, PCR genotyping, and rederivation (cesarean, embryo transfer).Our AAALAC accredited facilities in MA and MD offer containment as well as pathogen free barrier housing which accommodates bio-containment levels for diverse areas of research. In summary, our experienced staff, proprietary animal models, colony management, and facilities provide a cost effective solution for companies requiring reliable preclinical testing services."
Biomedical Systems,BIOMEDICAL SYSTEMS,Drug Development,77 Progress Parkway,,,Maryland Heights,MO,63043,USA,"Biomedical Systems is an international core diagnostics and consulting company, providing Sponsors with drug development services in cardiac safety, pulmonary function, imaging, neurophysiology, and pathology."
Biomedisyn Corporation,BIOMEDISYN CORPORATION,Drug Development,11 Research Drive,Unit 3,,Woodbridge,CT,06525,USA,
"Biometics, LLC","BIOMETICS, LLC",Agricultural / Industrial Biotechnology,300 Bear Hill Road,,,Waltham,MA,02451,USA,"Biometics, LLC is a consulting, engineering, architectural, validation firm specializing in services to the biotechnology and biopharmaceutical industry.  We have been in business for almost twenty years.  Our projects have involved process development, planning, process design, facility design and project management.  Biometics validation services encompass the complete range of validation activities from master plans through execution of protocols.    Through its sister company, Biometics-Design Construction Inc., Biometics is able to offer complete project execution from planning through construction."
"Biomodels, LLC","BIOMODELS, LLC",Contract Research & Manufacturing,313 Pleasant Street,,,Watertown,MA,02472,USA,"<b><u>Corporate Overview</u></b><br /><br />Biomodels is one of the country&rsquo;s preeminent preclinical contract research organizations specializing in the design, research, testing and evaluation of drugs for life science companies. <br /><br />Biomodels is unique in that it provides its clients access to world class technologies and predictive models through a series of collaborative relationships with leading academic researchers and institutions. As a result, Biomodels&rsquo; clients receive superior research together with the confidence of knowing their results can be relied upon to assess the potential for clinical success.<br /><br />Many of the world&rsquo;s largest and most respected life science companies, as well as dozens of small and mid-size companies regularly call on Biomodels for the best in outsourced preclinical research. <br /><br /><b><u>Preclinical Research</u></b><br /><br />Biomodels&rsquo; range of services stems from its familiarity with, and/or ownership of, numerous valuable and predictive in vivo models. Depending upon the specific disease or indication, each model is linked to a scientific collaborator (in most cases, the model&rsquo;s inventor) who assists in the design of studies and the analysis of data.<br /><br />Unlike large animal laboratories that simply breed animals that are then made available for shipping, Biomodels Research possesses the skills and training necessary to competently perform and complete studies using animals of varying species and phenotype. <br /><br />Biomodels Research provides everything necessary to conduct successful and meaningful in vivo studies including superior laboratory and technical support, veterinary care and supervision. And unlike many of its imitators, Biomodels offers valuable and important advice to its clients on virtually every aspect of the study from protocol design to statistical analysis of results.<br /><br />By virtue of the relationships existing among Biomodels, its affiliates, and the institutions and researchers that collaborate with and through Biomodels, Biomodels&rsquo; clients have easy and seamless access to a drug development continuum that includes drug discovery, in vitro testing, and high throughput screening provided by Biomodels Discovery Research, and clinical trial management offered by Clinical Assistance Programs."
"Bionevia Pharmaceuticals, Inc.","BIONEVIA PHARMACEUTICALS, INC.",Drug Development,1 Nichols Place,,,Cambridge,MA,02138,USA,"Bionevia Pharmaceuticals Inc. is a company that focuses on the discovery, development and commercialization of products for the treatment of patients with central nervous system disorders, and chronic pain.  Bionevia targets disease areas that are diagnosed and treated mainly by specialists where successful product commercialization can be achieved with small sales force.  It also focuses on areas of high unmet need not actively pursued by industry and with significant unrealized commercial potential."
"BioPhysics Assay Laboratory, Inc. (BioPAL)","BIOPHYSICS ASSAY LABORATORY, INC. (BIOPAL)",Research Products & Instrumentation,80 Webster Street,,,Worcester,MA,01603,USA,"BioPhysics Assay Laboratory, Inc. (BioPAL) technologies include:    Immunoassays for measuring renal GFR in drug discovery and development and as a confirmatory renal function test.    MRI contrast agents, both iron and gadolinium-based nanoparticles have been produced. These nanoparticles can be used as drug delivery devices as well. Other contrast agents are also available.    Cell labeling and tracking by MRI contrast agents and fluorescence. Quantification of labeled cell number in vivo by neutron activation. Ideal for assisting in the development of cellular therapy.    Molecular imaging and tracking technology (MITT) for tracking molecules in vivo by MRI and immunoassay. Molecules are tagged with an MRI contrast agent.    Microspheres for blood flow and particle deposition studies, BioPAL specializes in high-precision alternatives to traditional, radiolabeled life science products.  Our  products are labeled with stable (non-radioactive) isotopes and are used in an analogous fashion to their radioactive counterpart.  The analysis of stable tracer(s) in samples of interest is performed by BioPAL using neutron activation technology. "
BioProcessors Corporation,BIOPROCESSORS CORPORATION,Research Products & Instrumentation,12 A Cabot Road,,,Woburn,MA,01801,USA,"BioProcessors Corp., privately held company based in Woburn, MA , is developing a proprietary microfluidic platform that allows the growth of cells on micro fabricated devices with unprecedented levels of environmental control. The use of this unique tool enables high throughput full factorial DOE in a matter of weeks, scientists will be able to perform massively parallel cell culturing experiments while varying multiple environmental parameters, such as temperature, pH and media conditions, simultaneously, and thus enable pharmaceutical and biotechnology partners to streamline the cycles of biopharmaceutical development, cell-based screening and pre-ADME evaluations.  The Company was founded in October 2000 by Dr. Andrey Zarur, and has a rapidly growing team of 35 scientists from both industry and academia, as well as a premier executive team. BioProcessors' advisors represent leading scientific organizations and institutions, and include Dr. Charlie Cooney, a well-known professor at M.I.T. and a Director of Genzyme, Inc. and Dr. Amit Kumar, entrepreneur and operational executive of various start-ups who has licensed numerous patents to leaders in the biochip industry, including Caliper. BioProcessors is a ventured backed company. Healthcare Ventures and Oxford Bioscience Partners led the most recent round of financing.  "
Biopure Corporation,BIOPURE CORPORATION,Drug Development,11 Hurley Street,,,Cambridge,MA,02141,USA,"Biopure Corporation develops, manufactures, and markets pharmaceuticals, called oxygen therapeutics, that are intravenously administered to deliver oxygen to the body’s tissues. We were founded in 1984, and are headquartered and operate a GMP manufacturing facility in Cambridge, Massachusetts.    "
"BioScale, Inc.","BIOSCALE, INC.",Research Products & Instrumentation,4 Maguire Road,,,Lexington,MA,02421,USA,"At BioScale, we develop, manufacture and promote a sophisticated protein measurement technology to accelerate drug discovery, development and production of biological and pharmaceutical products.  The simplicity, power and speed of our innovative technology enables our customers to achieve major advancements in protein research that were not previously attainable by allowing the ultra-sensitive detection of  proteins in multiple types of complex biological samples.    BioScale was founded in 2002 by CEO Mark Lundstrom and three interdisciplinary MIT professors.  Since then the Company has assembled development, engineering, manufacturing and an industry-seasoned commercial team to globally launch our AMMP assay technology and ViBE platform into the pharmaceutical, biotech, life science, and bioprocess markets. We are also pursuing partnering for diagnostic and specialty applications.  The Company’s new 30,000 sq. ft. global headquarters and manufacturing site are located in Lexington, Massachusetts.  Large and growing markets    Proteins are becoming increasingly more important in the development of new drugs, the production of biological drugs, and sophisticated testing for diseases.   In pharmaceutical research, measuring the presence of proteins in a sample can show whether a drug is hitting its molecular target. In manufacturing, measurements determine that protein products are pure and safe. In diagnostics, the technology can be applied to tell whether a person has a virus or other molecular indicators of disease in their system.BioScale is initially targeting two primary protein application areas."
"BioTechnic Products, LTD.","BIOTECHNIC PRODUCTS, LTD.",Drug Development,Gateway Park,60 Prescott Street,,Worcester,MA,01605,USA,
BioTEiS Technologies,BIOTEIS TECHNOLOGIES,Contract Research & Manufacturing,51 Main Street #3,,,Somerville,MA,02145,USA,"BioTEiS Technologies is a biotech company developing novel R&D strategies to enhance, improve and automate the discovery of novel bio and nano-technologies. Our approach integrates computational chemistry (using virtual computer experiments) and automation with experimental research.  Our areas of specialization include multi-component polymers, drug delivery, liquid crystals and protein crystallization. BioTEiS fast-track route to product   development saves time and large financial expenses otherwise expended on   laborious trial-and-error experimental investigations. BioTEiS Technologies   also provides contract research to the biotech, pharmaceutical and academic   communities."
"Biotricity Medical, Inc.","BIOTRICITY MEDICAL, INC.",Medical Device,17 Alexander Road,,,Hopkinton,MA,01748,USA,"Biotricity Medical Inc. is a medical device research and manufacturing company specializing in developing long-term power requirements for implanted devices based on bioelectric generation.  The founders, Simon Rock Levinson, Ph.D., Vice President and Chief Science Officer, is a noted researcher in the field of biogeneration and is a professor at the University of Colorado School of Medicine.  Stephen C. Rathmill, Ph.D., President, is an expert in leadership and organizational systems.  Stephen specializes in creating high performing business organizations in new ventures.  Our first device, EpiVolt, creates electricity indefinitely.  The device is a tiny implantable biogenerator that is able to power implanted biomedical devices including pacemakers, insulin pumps, cochlear implants, and vagal nerve and brain stimulators.  It is constructed of living cultured electricity-generating cells that employs the body's own natural chemicals and processes to create electric power.  It generates electricity indefinitely instead of just storing a limited supply and will provide patients with reliable and consistent treatment without the dangers inherent with replacement operations."
"Biotrofix, Inc.","BIOTROFIX, INC.",Contract Research & Manufacturing,830 Winter street,1st floor,,Waltham,MA,02451,USA,"Biotrofix is a privately-held contract research firm and an early-stage drug development company.  Biotrofix specializes in preclinical modeling of neurological disorders including stroke, Alzheimer&rsquo;s disease, Parkinson&rsquo;s disease, amyotrophic lateral sclerosis, myscular dystrophy, and others. The Company provides these services to biopharmaceutical and biotechnology companies on a strictly fee-for-service basis, and takes no intellectual property rights on the work it does for clients.  Biotrofix currently provides preclinical contract services for several leading American and European biotech and pharmaceutical companies. Biotrofix has well-equipped laboratories and an AALAC-accredited animal facility located in Boston, Massachusetts.  Biotrofix is also engaged in its own R&amp;D activities in the field of neurological recovery.  For more information about Biotrofix, please visit our website at www.biotrofix.com."
"BioVest International, Inc.","BIOVEST INTERNATIONAL, INC.",Drug Development,Biotech Building 4,377 Plantation Street,,Worcester,MA,01605,USA,"BioVest International develops personalized immunotherapies for life threatening cancers of the blood system. BioVest is the holder of a Cooperative Research and Development Agreement (CRADA) with the National Cancer Institute for the commercialization of BiovaxID, a personalized biologic therapeutic cancer vaccine for the treatment of non-Hodgkin‚s lymphoma. This therapy, referred to as BiovaxID, is currently in a phase 3 pivotal trial at 24 major medical institutions in the US. Biovest has a long history of manufacturing biological drugs from small research scale quantities to large volumes for Phase 1 and Phase 2 clinical material.  In addition, BioVest International develops, manufactures, and markets patented cell culture systems and equipment, including the innovative Autovax instruments, to pharmaceutical, diagnostic and biotechnology companies, as well as leading research institutions worldwide.  "
"BioVex, Inc.","BIOVEX, INC.",Drug Development,34 Commerce Way,,,Woburn,MA,01801,USA,"BioVex is a clinical-stage biotechnology company focused on the development and future commercialization of targeted treatments for cancer and the prevention of infectious disease. The company's pipeline of cancer products is built on oncolytic virus technology that replicates and spreads within solid tumors, causing the death of cancer cells while leaving surrounding healthy cells unharmed.     The Company's lead product candidate, OncoVEX GM-CSF has completed a Phase I clinical trial in the United Kingdom in 30 patients with breast, melanoma, head and neck, or gastrointestinal tumors. OncoVEX GM-CSF destroyed tumors while leaving normal tissue undamaged, and without the serious side effects associated with chemotherapy or radiation. OncoVEX GM-CSF is currently in a 14-patient Phase I/II clinical trial in the United Kingdom for the treatment of head and neck cancer and in a 50-patient Phase II trial in the USA for the tretament of melanoma. BioVex expects to begin additional clinical trials with OncoVEX GM-CSF in pancreatic cancer in Q3 2006 and in metastatic colorectal cancer affecting the liver by the end of 2006.    BioVex's lead infectious disease product candidate is ImmunoVEX HSV2, a vaccine for genital herpes. In preclinical studies, ImmunoVEX HSV2 has completely protected against disease and invoked a powerful immune response. BioVex intends to initiate a Phase I clinical trial for this product candidate in the first half of 2007 and to report initial data later in 2007."
BioVolutions Inc.,BIOVOLUTIONS INC.,Contract Research & Manufacturing,200 Boston Ave,Suite 4500,,Medford,MA,02139,USA,"If you need to improve the permeation or reduce the toxicity of your API (oral, topical or injectable) then BioVolutions is your formulation development laboratory. We develop formulations ranging from standard oil in water emulsions to targeted nanoparticles. We use human equivalent models to optimize the formulation and if need be, we push the envelope to drive your API across a viable membrane such as CaCO-2 or epithelial tissue, while maintaining acceptable toxicity as measured by viable cell assays. We provide GLP and GMP services to manufacture your preclinical or Phase I/II material. Our people are our great asset and you will find that our services will exceed your expectations at reasonable cost. We thrive on challenge! Please visit our website at www.biovolutions.com and give us a call.   The BioVolutions team. "
"Blend Therapeutics, Inc.","BLEND THERAPEUTICS, INC.",Drug Development,134 Coolidge Avenue,,,Watertown,MA,02472,USA,"Blend is discovering and developing integrative combination medicines with the unprecedented ability to precisely control each agent’s therapeutic action in concert. Using our proprietary Maestro™ platform, we design and integrate drugs to target distinct disease pathways with optimal efficacy and safety. Blend was founded by three leaders in the fields of chemistry and nanomedicine from MIT and Harvard Medical School: Dr. Robert Langer and Dr. Stephen Lippard of MIT, and Dr. Omid Farokhzad of Harvard Medical School.     Blend is committed to hiring the best scientists and empowering them to reach their full potential. We invite you to join our team if you are passionate about developing integrated, mechanistically engineered combination medicines that will significantly improve the quality of patients’ lives. "
"Blue Sky Biotech, Inc.","BLUE SKY BIOTECH, INC.",Contract Research & Manufacturing,Gateway Park,60 Prescott Street,,Worcester,MA,01605,USA,"Blue Sky Biotech is a CRO in the Early Discovery Biology research space. Blue Sky Biotech performs value-added research for all types of clients: large pharma, small biotech, and academic institutions. Blue Sky Biotech services molecular biology, cell culture, fermentation, and protein purification needs.  These fee-for-service efficiencies allow clients more time to focus on their core competencies. Blue Sky Biotech scientists have many years of experience in large pharmaceutical research labs, therefore they understand the need for quality, speed, and trust... at a fair price."
Blue Stream Laboratories,BLUE STREAM LABORATORIES,Contract Research & Manufacturing,"763 Concord Avenue, Bldg. E",,,Cambridge,MA,02138,USA,"Blue Stream Laboratories is a modern, client-driven, contract analytical, formulations, and development-support laboratory serving the pharmaceutical, biotechnology, and associated diagnostics industries.  The company specializes in recombinant glycoprotein, peptide, and small molecule product characterization, lot release, and stability programs required for pharmaceutical and biopharmaceutical product development.     Founded to address the growing need for advanced, innovative product characterization and analytical testing, Blue Stream Laboratories provides sound technical expertise and unrivaled customer service. The company is dedicated to finding solutions to the industry&rsquo;s most difficult testing and product development program challenges.    Blue Stream Laboratories is located outside of Boston."
bluebird bio,BLUEBIRD BIO,Drug Development,840 Memorial Drive,,,Cambridge,MA,02139,USA,"bluebird bio is developing innovative gene therapies for severe genetic disorders. At the heart of bluebird bio’s product creation efforts is its broadly applicable gene therapy platform for the development of novel treatments for diseases with few or no clinical options. The company’s novel approach uses stem cells harvested from the patient’s bone marrow into which a healthy version of the disease causing gene is inserted. After being grown in culture, those cells are given back to the patient. bluebird bio’s approach represents a true paradigm shift in the treatment of severe genetic diseases by eliminating the potential complications associated with donor cell transplantation and potentially presenting a one-time transformative therapy. bluebird bio has two later stage clinical products in development for childhood cerebral adrenoleukodystrophy (CCALD) and beta-thalassemia/sickle cell anemia. Led by a world-class team, bluebird bio is privately-held and backed by top-tier life sciences investors, including Third Rock Ventures, TVM Capital, Forbion Capital Partners, Easton Capital and Genzyme Ventures. Its operations are located in Cambridge, Mass. and Paris, France.    "
Blueprint Medicines,BLUEPRINT MEDICINES,Drug Development,215 First Street,3rd Floor,,Cambridge,MA,02142,USA,"Blueprint Medicines’ vision is to realize the potential of personalized cancer medicine, enabling patient populations to benefit from individualized treatments, significantly improved clinical outcomes and enhanced quality of life. We strive to make cancer a manageable condition.     Our mission is to harness the growing understanding of the molecular blueprint of cancer to systematically develop personalized, highly-selective cancer therapies. These new and novel medicines target the molecular aberrations that cause cancer and the patients most likely to benefit.  "
"Boston Analytical, Inc.","BOSTON ANALYTICAL, INC.",Contract Research & Manufacturing,"8 Industrial Way, Unit D-3",,,Salem,NH,03079,USA,"High quality, fast, accurate testing. Boston Analytical offers a complete line of cGMP/GLP Analytical and Microbiological testing services to Biotech, Pharmaceutical and Medical Device companies worldwide. We are committed to providing the highest quality testing services to companies in support of their NDAs, INDs, Release and Stability testing requirements. Personal, friendly and effective communications, quality service and rapid turnaround are the cornerstones of our business.     We offer Compendial Microbiological Testing Services, Environmental Monitoring, USP Water Testing, Raw Materials testing, Method Development and Validation, Stability Studies and Dissolution Testing services. Specialties include Microbial Identification via the Applied Biosystems MicroSeq (r) Genetic Analyzer which enables us to provide the most accurate means available of identifying specific bacteria, yeast and mold. Employees are highly trained and experienced in the areas of Analytical Chemistry, Microbiology and Regulatory Affairs. All work is audited 100% for adherence to SOP's, cGMP's/GLP's and Specific Client Requirements.  Since 1987, quality analytical testing you can rely on."
"Boston Biochem, Inc.","BOSTON BIOCHEM, INC.",Research Products & Instrumentation,840 Memorial Drive,,,Cambridge,MA,02139,USA,"Boston Biochem is a rapidly growing company whose core business is the production of specialized reagents for drug discovery and basic research in the major intra-cellular signaling/degradation pathways. These pathways include purified enzymes, proteins, antibodies, substrates, modified proteins, assay kits and cell permeable small molecule inhibitors.      In addition to their product line, Boston Biochem also offers a full range of custom services: protein purification, protein purification methods development, assay development, protein modification (labeling, tagging, etc.), expression optimization, over-expression and purification of proteins and the synthesis of peptides and substrates and inhibitors. These resulting products are available in quantities ranging from analytical (research) to bulk (screening) scale."
Boston BioCom LLC,BOSTON BIOCOM LLC,Drug Development,50 Staniford Street,Suite 803,,Boston,MA,02114,USA,"Boston BioCom LLC is a life sciences technology financing and development company that is implementing a new model for unlocking value in biomedical discovery and development. Its mission is to push new boundaries of science and biotechnology to develop high potential products that meet critical medical needs.     The building blocks of this model include an experienced team with broad commercialization skills; unique access to many innovative and important technologies in the United States and abroad; and strategic partnerships with both Partners HealthCare System, which includes Harvard Medical School affiliates Massachusetts General Hospital and Brigham &amp; Women&rsquo;s Hospital, and Pfizer Inc., the world&rsquo;s largest pharmaceutical company. A distinctive aspect of the model is a broad series of cross-border partnerships and relationships the Company&rsquo;s scientific team has established over years with its counterparts in Russia that have resulted in joining of scientific expertise that generates new technologies and medical advances."
"Boston Biomedical, Inc.","BOSTON BIOMEDICAL, INC.",Drug Development,333 Providence Highway,,,Norwood,MA,02062,USA,"Boston Biomedical, Inc. is a private biotechnology company located in Norwood, Massachusetts, focused on research and development of novel therapeutics to treat cancer and inflammation."
Boston Bioproducts Inc,BOSTON BIOPRODUCTS INC,Research Products & Instrumentation,9 Short Street,,,Worcester,MA,01604,USA,"Boston BioProducts provides ready to use reagents for Protein Research, Molecular Biology, Immunology, Histology as well as Custom Reagents to pharmaceutical, biotech and academic research labs. Our mission is to become one of the leading providers of bioreagents in biomedical field  "
Boston Heart Lab Corporation,BOSTON HEART LAB CORPORATION,Contract Research & Manufacturing,2 Central Street,,,Framingham,MA,01701,USA,"Boston Heart Lab (BHL) is a heathcare company that provides comprehensive cardiovascular disease (CVD) management. Through our combination of proprietary lipid testing technology, esoteric testing capability, advanced therapy guidelines, sophisticated tools, and patient support services, we are providing pharmaceutical companies, physicians, and patients a viable disease management offering for CVD. Unlike other lipid testing companies that are focused on the primary screening market for CVD, our proprietary testing technology allows for the ongoing monitoring of a patient's disease and precise determination of the most appropriate pharmaceutical alternatives. We can provide unique, personalized treatment to patients with dislipidemia to determine the efficacy of lipid lowering drugs within the first 6 weeks of treatment - versus 6 months to obtain efficacy results by competitors' methods. "
