BioMedtechTypeCopy,MA Bio Member,CompanyName,FName,LName,Title,AddressLine1,AddressLine2,City,State,Zip,NumEmplSt,address
Agricultural/Industrial Biotechnology,,CEREALUS HOLDINGS LLC,Tony,Jabar,Founder/CEO,25 Clearview Ave,,Waterville,ME,04901,0,"25 Clearview Ave, Waterville, ME 04901"
Contract Research & Manufacturing,MA Bio Member,CERTUS INTERNATIONAL INC,Edward,Aten,President/CEO,10 Corporate Dr,Suite 101,Bedford,NH,02110,0,"10 Corporate Dr Suite 101, Bedford, NH 02110"
Drug Development,MA Bio Member,CERULEAN PHARMA INC,Oliver,Fetzer,President/CEO,840 Memorial Dr,,Cambridge,MA,02139,26,"840 Memorial Dr, Cambridge, MA 02139"
Medical Device,,"CHAMBERLAIN GROUP LLC, THE",Eric,Chamberlain,President,934 Main St,,Great Barrington,MA,01230,20,"934 Main St, Great Barrington, MA 01230"
Drug Development,,CHARLES RIVER LABORATORIES INTERNATIONAL INC,James,Foster,Chairman/President/CEO,251 Ballardvale St,,Wilmington,MA,01887,850,"251 Ballardvale St, Wilmington, MA 01887"
Research Products & Instrumentation,,CHEAP TUBES INC,Mike,Foley,President,112 Mercury Dr,,Brattleboro,VT,05301,3,"112 Mercury Dr, Brattleboro, VT 05301"
Drug Development,,CHEMINPHARMA LLC,Uday,Khire,Founder/CEO,400 Farmington Ave,,Farmington,CT,06030,0,"400 Farmington Ave, Farmington, CT 06030"
Agricultural/Industrial Biotechnology,,CHEMSIM LLC,Huan,Hsu,President,26 Berkeley St,,Arlington,MA,02474,2,"26 Berkeley St, Arlington, MA 02474"
Hospital,MA Bio Member,CHILDREN'S HOSPITAL BOSTON,Erik,Halvorsen,Executive Director Technology/Innovation Dev't,300 Longwood Ave,Technology & Innovation Development Office,Boston,MA,02144,25,"300 Longwood Ave Technology & Innovation Development Office, Boston, MA 02144"
Research Products & Instrumentation,,CHROMATAN,Oleg,Shinkazh,Founder/President,,,Dedham,MA,,1,", Dedham, MA "
Research Products & Instrumentation,,CIENCIA INC,Arturo,Pilar,President,111 Roberts St,Suite K,E Hartford,CT,06108,11,"111 Roberts St Suite K, E Hartford, CT 06108"
Medical Device,,CIMEDICAL INC,Clifford,Garnett,CEO/CFO,15 Commerce Way,Norton Commerce Ctr,Norton,MA,02766,50,"15 Commerce Way Norton Commerce Ctr, Norton, MA 02766"
Medical Device,,CIRTEC MEDICAL SYSTEMS,Michael,Forman,President/CTO/Founder,55 Deer Park Dr,,E Longmeadow,MA,01028,64,"55 Deer Park Dr, E Longmeadow, MA 01028"
Human Diagnostic Development,,CITRA ANTICOAGULANTS INC,,,,55 Messina Dr,,Braintree,MA,02184,0,"55 Messina Dr, Braintree, MA 02184"
Drug Development,MA Bio Member,CIVITAS THERAPEUTICS,Stephanie,Gillis,Manager Administration,190 Everett Ave,,Chelsea,MA,02150,15,"190 Everett Ave, Chelsea, MA 02150"
Human Diagnostic Development,,CLAROS DIAGNOSTICS INC,Michael,Magliochetti,President/CEO,4 Consitution Way,Suite E,Woburn,MA,01801,0,"4 Consitution Way Suite E, Woburn, MA 01801"
BioInformatics,,CLINIWORKS INC,Nitzan,Sneh,CEO,245 First St,Suite 1800,Cambridge,MA,02142,,"245 First St Suite 1800, Cambridge, MA 02142"
Contract Research & Manufacturing,MA Bio Member,CLINQUEST INC,James,Thomasch,CEO,One Cabot Rd,,Hudson,MA,01749,0,"One Cabot Rd, Hudson, MA 01749"
Contract Research & Manufacturing,,CMB SCIENCE INC,Scott,Wharram,Founder,600 Suffolk St,Wannalancit Mills,Lowell,MA,01854,,"600 Suffolk St Wannalancit Mills, Lowell, MA 01854"
BioInformatics,,CMD BIOSCIENCE,Joseph,Audie,CEO,5 Science Park,,New Haven,CT,06511,7,"5 Science Park, New Haven, CT 06511"
Medical Device,,COATINGS2GO LLC,Margaret,Palmer,CEO,399 Concord St,,Carlisle,MA,01741,2,"399 Concord St, Carlisle, MA 01741"
Medical Device,,COBURN TECHNOLOGIES,Alex,Incera,President,55 Gerber Rd,,S Windsor,CT,06074,90,"55 Gerber Rd, S Windsor, CT 06074"
Medical Device,,COGMEDIX,Lianne,Coppinger,Director Compliance/Regulatory,70 Hartwell St,,W Boylston,MA,01583,,"70 Hartwell St, W Boylston, MA 01583"
Drug Development,,COLLEGIUM PHARMACEUTICAL INC,Michael,Heffernan,Co-Founder/President/CEO,400 Highland Corporate Dr,,Cumberland,RI,02864,,"400 Highland Corporate Dr, Cumberland, RI 02864"
Contract Research & Manufacturing,,COLUMBIA TECH,James,Coghlin Sr,Chairman,17 Briden St,,Worcester,MA,01605,300,"17 Briden St, Worcester, MA 01605"
Medical Device,,COMET NORTH AMERICA INC,Ronald,Fehlmann,CEO,76 Progress Dr,,Stamford,CT,06902,25,"76 Progress Dr, Stamford, CT 06902"
Medical Device,,COMPONENT ENGINEERS INC,Ronald,Hansen Jr,President/CEO,108 North Plains Industrial Rd,,Wallingford,CT,06492,90,"108 North Plains Industrial Rd, Wallingford, CT 06492"
Medical Device,,CONCERT MEDICAL,,,,77 Accord Park Dr,,Norwell,MA,02061,50,"77 Accord Park Dr, Norwell, MA 02061"
Drug Development,MA Bio Member,CONCERT PHARMACEUTICALS INC,Roger,Tung,President/CEO,99 Hayden Ave,Suite 500,Lexington,MA,02421,45,"99 Hayden Ave Suite 500, Lexington, MA 02421"
Medical Device,,CONDUCTIVE COMPOUNDS INC,Don,Banfield,President,17 Hampshire Dr,Suite 8,Hudson,NH,03051,10,"17 Hampshire Dr Suite 8, Hudson, NH 03051"
Medical Device,,CONFORMIS INC,Philipp,Lang,President/CEO,11 North Ave,,Burlington,MA,01803,45,"11 North Ave, Burlington, MA 01803"
Academic,,CONNECTICUT VALLEY BIOLOGICAL SUPPLY CO INC,Robert,Lohr,President,82 Valley Rd,P O Box 326,Southampton,MA,01073,17,"82 Valley Rd P O Box 326, Southampton, MA 01073"
Research Products & Instrumentation,,CONOPTICS,Ronald,Pizzo,President,19 Eagle Rd,,Danbury,CT,06810,20,"19 Eagle Rd, Danbury, CT 06810"
Medical Device,,CONSOLIDATED STILLS AND STERILIZERS,William,Barnstead,President/CEO,76 Ashford St,,Boston,MA,02134,45,"76 Ashford St, Boston, MA 02134"
Drug Development,MA Bio Member,CONSTELLATION PHARMACEUTICALS,Mark,Goldsmith,President/CEO,215 First St,Suite 200,Cambridge,MA,02142,68,"215 First St Suite 200, Cambridge, MA 02142"
Medical Device,,CONTAINERS 2 CLINICS INC,Elizabeth,Sheehan,Executive Director,P O Box 446,53 Yorkshire Rd,Dover,MA,02030,0,"P O Box 446 53 Yorkshire Rd, Dover, MA 02030"
Medical Device,,CONTINENTAL METAL PRODUCTS CO INC,Paul,Siegal,President,35 Olympia Ave,,Woburn,MA,01801,40,"35 Olympia Ave, Woburn, MA 01801"
BioInformatics,,CONTROL MODULE INC,James,Bianco,VP,89 Phoenix Ave,,Enfield,CT,06082,80,"89 Phoenix Ave, Enfield, CT 06082"
Agricultural/Industrial Biotechnology,,CONVERTED ORGANICS INC,Edward,Gildea,President/CEO,74 Commercial Wharf West,,Boston,MA,02110,0,"74 Commercial Wharf West, Boston, MA 02110"
Medical Device,,COOPER SURGICAL,Nicholas,Pichotta,CEO,95 Corporate Dr,,Trumbull,CT,06611,200,"95 Corporate Dr, Trumbull, CT 06611"
Medical Device,,CORFLEX INC,Paul,Lorenzetti,President,669 E Industrial Park Dr #2,,Manchester,NH,03109,25,"669 E Industrial Park Dr #2, Manchester, NH 03109"
Medical Device,,CORINDUS INC,David,Handler,President/CEO,11 Erie St,,Natick,MA,01760,35,"11 Erie St, Natick, MA 01760"
Medical Device,,CORNING INC/LIFE SCIENCES,Richard,Eglen,VP/GM,900 Chelmsford St,Tower 2 4th Floor,Lowell,MA,01851,120,"900 Chelmsford St Tower 2 4th Floor, Lowell, MA 01851"
Drug Development,MA Bio Member,CORONADO BIOSCIENCES,Glen,Cooper,Executive Chairman/Director,15 New England Executive Park,,Burlington,MA,01803,15,"15 New England Executive Park, Burlington, MA 01803"
Medical Device,,CORREX INC,J Alan,Crunkleton,President/CEO/Director,135 Beaver St,Suite 203,Waltham,MA,02452,0,"135 Beaver St Suite 203, Waltham, MA 02452"
Medical Device,,COSMAN MEDICAL INC,Michael,Arnold,President,76 Cambridge St,,Burlington,MA,01803,0,"76 Cambridge St, Burlington, MA 01803"
Medical Device,,COTRAN CORP,Bertrand,Dumont,CEO,574 Park Ave,P O Box 130,Portsmouth,RI,02871,10,"574 Park Ave P O Box 130, Portsmouth, RI 02871"
Medical Device,MA Bio Member,COURTAGEN LIFE SCIENCES INC,R Brian,McKernan,CEO,12 Gill St,Suite 3700,Woburn,MA,01801,20,"12 Gill St Suite 3700, Woburn, MA 01801"
Research Products & Instrumentation,,COVARIS INC,,,,14 Gill St,Unit H,Woburn,MA,01801,0,"14 Gill St Unit H, Woburn, MA 01801"
Medical Device,,COVIDIEN,Jose,Almeida,President/CEO,15 Hampshire St,,Mansfield,MA,02048,1300,"15 Hampshire St, Mansfield, MA 02048"
Contract Research & Manufacturing,MA Bio Member,CREAGEN BIOSCIENCES INC,Raj,Rajur,Founder/Chairman/CEO,23 Rainin Rd,,Woburn,MA,01801,12,"23 Rainin Rd, Woburn, MA 01801"
Medical Device,,CREGANNA MEDICAL DEVICES,Randall,Sword,Global Business Dev't,23 Holly Lane,,Beverly,MA,01915,1,"23 Holly Lane, Beverly, MA 01915"
Medical Device,,CRESCENT INDUSTRIES INC,Rex,Bradbury,CEO/CFO,191 Washington St,,Auburn,ME,04210,10,"191 Washington St, Auburn, ME 04210"
Contract Research & Manufacturing,MA Bio Member,CSCS,Mark,Willis,VP Sales/Marketing,59 Greenhill St,,W Warwick,RI,02893,0,"59 Greenhill St, W Warwick, RI 02893"
Medical Device,,CTS ELECTRONICS MANUFACTURING SOLUTIONS,Vinod,Khilnani,CEO,34 Londonderry Rd,,Londonderry,NH,03053,200,"34 Londonderry Rd, Londonderry, NH 03053"
Drug Development,MA Bio Member,CUBIST PHARMACEUTICALS INC,Michael,Bonney,President/CEO,65 Hayden Ave,,Lexington,MA,02421,422,"65 Hayden Ave, Lexington, MA 02421"
Drug Development,MA Bio Member,CURIS INC,James,McNab,Chairman,4 Maguire Rd,,Lexington,MA,02421,45,"4 Maguire Rd, Lexington, MA 02421"
Medical Device,,CUSTOM HEAT LLC,Nick,Childs,Engineering Manager,10 School St,#2,Danvers,MA,01923,8,"10 School St #2, Danvers, MA 01923"
Contract Research & Manufacturing,,CUSTOM NANOTECH LLC,Brent,Buchine,President/Co-Founder,,,Watertown,MA,,2,", Watertown, MA "
Medical Device,,CYNOSURE INC,Michael R,Davin,President/CEO/Chairman,5 Carlisle Rd,,Westford,MA,01886,80,"5 Carlisle Rd, Westford, MA 01886"
Disease Foundation,MA Bio Member,CYSTIC FIBROSIS FOUNDATION THERAPEUTICS LAB,Martin,Mense,Lab Head,3 Preston Court,,Bedford,MA,01730,5,"3 Preston Court, Bedford, MA 01730"
Research Products & Instrumentation,,CYTOGEN RESEARCH AND DEVELOPMENT INC,George,Yerganian,President,89 Bellevue Hill Rd,,W  Roxbury,MA,02132,3,"89 Bellevue Hill Rd, W  Roxbury, MA 02132"
Drug Development,MA Bio Member,CYTOSOLV INC,Moses,Goddard,CEO,117 Chapman St,Suite 107,Providence,RI,02905,0,"117 Chapman St Suite 107, Providence, RI 02905"
Medical Device,,D-CHN LLC,Tim,Cabot,President,One Shorr Court,,Woonsocket,RI,02895,40,"One Shorr Court, Woonsocket, RI 02895"
Medical Device,,D&R PRODUCTS CO INC,Richard,Newman,President,455 River Rd,P O Box 718,Hudson,MA,01749,102,"455 River Rd P O Box 718, Hudson, MA 01749"
BioInformatics,MA Bio Member,DAEDALUS SOFTWARE INC,Azita,Sharif,Founder/CEO,215 First St,Suite 240,Cambridge,MA,02142,52,"215 First St Suite 240, Cambridge, MA 02142"
Contract Research & Manufacturing,,DAKOTA SYSTEMS INC,John,Thomas,President,1057 Broadway Rd,,Dracut,MA,01826,125,"1057 Broadway Rd, Dracut, MA 01826"
BioInformatics,,DAKTARI DIAGNOSTICS INC,William,Rodriguez,CEO,85 Bolton St,,Cambridge,MA,02140,0,"85 Bolton St, Cambridge, MA 02140"
Medical Device,,DALE MEDICAL PRODUCTS,John,Brezack,President,7 Cross St,,Plainville,MA,02762,100,"7 Cross St, Plainville, MA 02762"
Research Products & Instrumentation,,DAN-KAR CORP,Terry,Hahn,President,192C New Boston St,,Woburn,MA,01801,8,"192C New Boston St, Woburn, MA 01801"
Non-profit Research Institution,MA Bio Member,DANA-FARBER CANCER INSTITUTE,Edward,Benz Jr,President/CEO,450 Brookline Ave,,Boston,MA,02215,3700,"450 Brookline Ave, Boston, MA 02215"
Medical Device,,DATACON INC,John,Marshall,CEO/President,60 Blanchard Rd,,Burlington,MA,01803,70,"60 Blanchard Rd, Burlington, MA 01803"
Medical Device,,DAVID SCOTT CO,David,Kaplan,President/CEO DSC Division,59 Fountain St,,Framingham,MA,01702,12,"59 Fountain St, Framingham, MA 01702"
Medical Device,,DAVINCI BIOMEDICAL RESEARCH PRODUCTS INC,Tony,Nazal,Business Dev't,P O Box 1125,,S Lancaster,MA,01561,0,"P O Box 1125, S Lancaster, MA 01561"
Agricultural/Industrial Biotechnology,,DDES LLC,Matt,Norton,President,484 Lowell St,Suite 1A,Peabody,MA,01960,9,"484 Lowell St Suite 1A, Peabody, MA 01960"
BioInformatics,,DECISION RESOURCES,Sarah,Fuller,President,8 New England Executive Pk,,Burlington,MA,01803,0,"8 New England Executive Pk, Burlington, MA 01803"
Medical Device,,DEFIBTECH LLC,Ray,Valek,Media Contact,741 Boston Post Rd,Suite 201,Guilford,CT,06437,0,"741 Boston Post Rd Suite 201, Guilford, CT 06437"
Medical Device,,DELSYS INC,Carlo,De Luca,President,P O Box 15734,,Boston,MA,02215,0,"P O Box 15734, Boston, MA 02215"
Medical Device,,DEPUY MITEK,,,,325 Paramount Dr,,Raynham,MA,02767,0,"325 Paramount Dr, Raynham, MA 02767"
Medical Device,,DEPUY SPINE INC,,,,325 Paramount Dr,,Raynham,MA,02767,440,"325 Paramount Dr, Raynham, MA 02767"
Medical Device,,DERINGER-NEY INC,John,Wallace,CEO/President,2 Douglas St,Ney Industrial Park,Bloomfield,CT,06002,185,"2 Douglas St Ney Industrial Park, Bloomfield, CT 06002"
Medical Device,,DESIGN MEDICAL INC,Douglas,Vincent,President/CEO,70 Bridge St  #8,,Pelham,NH,03076,0,"70 Bridge St  #8, Pelham, NH 03076"
Medical Device,,DESIGN MENTOR INC,Douglas,Vincent,President/CEO,70 Bridge St  #7,,Pelham,NH,03076,6,"70 Bridge St  #7, Pelham, NH 03076"
Drug Development,MA Bio Member,DEUTERIA PHARMACEUTICALS INC,Sheila,DeWitt,President,300 Brickstone Sq,Suite 201,Andover,ME,01810,0,"300 Brickstone Sq Suite 201, Andover, ME 01810"
Non-profit Research Institution,MA Bio Member,DIAGNOSTICS FOR ALL INC,Una,Ryan,President/CEO,840 Memorial Dr,,Boston,MA,02139,10,"840 Memorial Dr, Boston, MA 02139"
Drug Development,MA Bio Member,DICERNA PHARMACEUTICALS INC,Doug,Fambrough,CEO,480 Arsenal St,Bldg #1  Suite 120,Watertown,MA,02472,31,"480 Arsenal St Bldg #1  Suite 120, Watertown, MA 02472"
Medical Device,,DIELECTRICS INC,Bart,Rietkerk,Vice President,300 Burnett Rd,,Chicopee,MA,01020,250,"300 Burnett Rd, Chicopee, MA 01020"
Research Products & Instrumentation,MA Bio Member,DIFFERENTIAL PROTEOMICS INC,Paul,Stroobant,CSO,30 Morningside Ave,,Natick,MA,01760,5,"30 Morningside Ave, Natick, MA 01760"
BioInformatics,,DIGILAB INC,Lily,Zhang,Global Marketing Manager,84 October Hill Rd,,Holliston,MA,01746,0,"84 October Hill Rd, Holliston, MA 01746"
Medical Device,,DISANTO TECHNOLOGY INC,Ronald,Dunn,VP,10 Constitution Blvd S,,Shelton,CT,06484,80,"10 Constitution Blvd S, Shelton, CT 06484"
Medical Device,,DRAEGER MEDICAL SYSTEMS INC,Steve,Weisner,Senior Director OEM Development,6 Tech Dr,,Andover,MA,01810,517,"6 Tech Dr, Andover, MA 01810"
Medical Device,,DSC OPTICAL SERVICES,William,Trask,CEO/President,1359 Centre St,,Newton,MA,02459,3,"1359 Centre St, Newton, MA 02459"
Drug Development,MA Bio Member,DUSA PHARMACEUTICALS INC,Robert,Doman,President/CEO,25 Upton Dr,,Wilmington,MA,01887,95,"25 Upton Dr, Wilmington, MA 01887"
Drug Development,MA Bio Member,DYAX CORP,Gustav,Christensen,President/CEO,55 Network Dr,,Burlington,MA,01803,140,"55 Network Dr, Burlington, MA 01803"
Research Products & Instrumentation,,DYCEM,Marcus,Vaughn,National Sales Manager,83 Gilbane St,,Warwick,RI,02886,22,"83 Gilbane St, Warwick, RI 02886"
Contract Research & Manufacturing,,DYNAMET TECHNOLOGY INC,Stanley,Abkowitz,CEO,8 A Street,,Burlington,MA,01803,12,"8 A Street, Burlington, MA 01803"
Medical Device,,DYNASIL CORP OF AMERICA,Steven,Ruggieri,President,44 Hunt St,,Watertown,MA,02472,131,"44 Hunt St, Watertown, MA 02472"
Medical Device,,E BENSON HOOD LABORATORIES INC,Lewis,Marten,President,575 Washington St,,Pembroke,MA,02359,11,"575 Washington St, Pembroke, MA 02359"
Medical Device,,E-PILL MEDICATION REMINDERS,Magnus,Moliteus,Chairman,49 Walnut St,Bldg 4,Wellesley,MA,02481,6,"49 Walnut St Bldg 4, Wellesley, MA 02481"
Medical Device,,E-TROLZ INC,James,Robertson,President/CEO,1600 Osgood St,Suite 2-17,N Andover,MA,01845,5,"1600 Osgood St Suite 2-17, N Andover, MA 01845"
Human Diagnostic Development,,EAGLE BIOSCIENCES,Dan,Keefe,President,20A NW Blvd,Suite 112,Nashua,NH,03063,6,"20A NW Blvd Suite 112, Nashua, NH 03063"
Medical Device,,EAGLE STAINLESS TUBE & FABRICATION INC,Robert,Bubencik,President,10 Discovery Way,,Franklin,MA,02038,70,"10 Discovery Way, Franklin, MA 02038"
Medical Device,,EBTEC CORP,Mark,Hauser,Marketing Director,120 Shoemaker Ln,,Agawam,MA,01001,120,"120 Shoemaker Ln, Agawam, MA 01001"
Medical Device,,ECHO THERAPEUTICS INC,Patrick,Mooney,President/CEO/Chairman,10 Forge Pkwy,,Franklin,MA,02038,19,"10 Forge Pkwy, Franklin, MA 02038"
Medical Device,,ECHOHEART INC,Janet,Eugley,Founder/COO,P O Box 215,,Damariscotta,ME,04543,0,"P O Box 215, Damariscotta, ME 04543"
Drug Development,,ECI BIOTECH INC,Mitch,Sanders,CEO,85 Prescott St,,Worcester,MA,01605,10,"85 Prescott St, Worcester, MA 01605"
Medical Device,,ECLIPSE PRODUCT DEVELOPMENT,James,Sellers,President,21 Water St,5th Floor,Amesbury,MA,01913,0,"21 Water St 5th Floor, Amesbury, MA 01913"
Drug Development,MA Bio Member,EDIMER PHARMACEUTICALS INC,Neil,Kirby,President/CEO,1 Broadway,8th Floor,Cambridge,MA,02142,0,"1 Broadway 8th Floor, Cambridge, MA 02142"
Contract Research & Manufacturing,,ELECTROMECHANICA,Karl,Edminster,President,13 Industrial Dr,Unit 2 Rear,Mattapoisett,MA,02739,5,"13 Industrial Dr Unit 2 Rear, Mattapoisett, MA 02739"
Drug Development,,ELECTRON OPTICS DEVELOPMENT CO LLC,Michael,Retsky,Principal,237 Strobel Rd,,Trumbull,CT,06611,2,"237 Strobel Rd, Trumbull, CT 06611"
Drug Development,MA Bio Member,ELEVEN BIOTHERAPEUTICS,Abbie,Celniker,CEO,215 First St,Suite 400,Cambridge,MA,02142,0,"215 First St Suite 400, Cambridge, MA 02142"
Research Products & Instrumentation,,ELM HILL BREEDING LABS,Jean,Kydd,President,7 Kidder Rd,,Chelmsford,MA,01824,12,"7 Kidder Rd, Chelmsford, MA 01824"
Drug Development,MA Bio Member,EMBER THERAPEUTICS,Lou,Tartaglia,President/Interim CEO,29 Newbury St,,Boston,MA,02116,0,"29 Newbury St, Boston, MA 02116"
Drug Development,MA Bio Member,EMBERA NEUROTHERAPEUTICS INC,Robert,Linke,President/CEO,29 Babe Ruth Dr,,Sudbury,MA,01776,0,"29 Babe Ruth Dr, Sudbury, MA 01776"
Research Products & Instrumentation,MA Bio Member,EMD MILLIPORE,Robert,Yates,President,290 Concord Rd,,Billerica,MA,01821,1200,"290 Concord Rd, Billerica, MA 01821"
Drug Development,MA Bio Member,EMD SERONO INC,James,Hoyes,President/CEO,1 Technology Pl,,Rockland,MA,02370,150,"1 Technology Pl, Rockland, MA 02370"
BioInformatics,,EMPIRIKO,Pam,Randhawa,CEO/Founder,,,,MA,,0,", , MA "
Medical Device,,EMPLOY   ABILITY INC,Mike,Rodrigues,CEO,100 L Messina Dr,,Braintree,MA,02184,38,"100 L Messina Dr, Braintree, MA 02184"
Drug Development,MA Bio Member,ENANTA PHARMACEUTICALS INC,Jay,Luly,President/CEO/Director,500 Arsenal St,,Watertown,MA,02472,50,"500 Arsenal St, Watertown, MA 02472"
Medical Device,,ENDURO MEDICAL TECHNOLOGY INC,John,Schuyler,Chairman,310 Nutmeg Road South,Unit C-5,S Windsor,CT,06074,3,"310 Nutmeg Road South Unit C-5, S Windsor, CT 06074"
Medical Device,,ENERCON TECHNOLOGIES,Ronald,Marcotte,President/CEO,25 Northbrook Dr,PO Box 665,Gray,ME,04039,135,"25 Northbrook Dr PO Box 665, Gray, ME 04039"
Drug Development,,ENERGESIS PHARMACEUTICALS,Olivier,Boss,Founder/CSO,1 Cambridge Center,6th floor,Cambridge,MA,02142,3,"1 Cambridge Center 6th floor, Cambridge, MA 02142"
Medical Device,,ENERGETIQ TECHNOLOGY INC,Paul,Blackborow,CEO,7 Constitution Way,,Woburn,MA,01801,20,"7 Constitution Way, Woburn, MA 01801"
Medical Device,,ENERGY BEAM SCIENCES,Michael,Nesta,CEO,29B Kripes Rd,,E Granby,CT,06026,12,"29B Kripes Rd, E Granby, CT 06026"
Contract Research & Manufacturing,,ENLIGHT BIOSCIENCES,Michelle,Browner,CEO/Board Member,500 Boylston St,Suite 1600,Boston,MA,02116,0,"500 Boylston St Suite 1600, Boston, MA 02116"
Drug Development,MA Bio Member,ENSEMBLE THERAPEUTICS CORP,Michael,Taylor,CEO,99 Erie St,,Cambridge,MA,02139,34,"99 Erie St, Cambridge, MA 02139"
Drug Development,,ENTHEOGEN CORP,John,Halpern,Co-Founder/Chief Medical Officer,,,Boston,MA,,0,", Boston, MA "
Research Products & Instrumentation,,ENVIRONAIR,William,Holman,President,555 Cottage St,,Springfield,MA,01104,12,"555 Cottage St, Springfield, MA 01104"
Drug Development,MA Bio Member,ENVIVO PHARMACEUTICALS,Kees,Been,President/CEO,480 Arsenal St,Bldg 1,Watertown,MA,02472,42,"480 Arsenal St Bldg 1, Watertown, MA 02472"
Research Products & Instrumentation,MA Bio Member,ENZYMATICS INC,Stephen,Picone,CEO,100 Cummings Center,Suite 407J,Beverly,MA,01915,62,"100 Cummings Center Suite 407J, Beverly, MA 01915"
Contract Research & Manufacturing,,EOLAS BIOSCIENCES USA,Kimberley,Gannon,Head US Operations,87 Church St,,Watertown,MA,02472,1,"87 Church St, Watertown, MA 02472"
Contract Research & Manufacturing,MA Bio Member,EPISTEM,Laura,Lennox,Business Dev't Manager,One Broadway,14th Floor,Cambridge,MA,02142,2,"One Broadway 14th Floor, Cambridge, MA 02142"
Drug Development,MA Bio Member,EPIVAX INC,Anne,DeGroot,CEO,146 Clifford St,,Providence,RI,02903,12,"146 Clifford St, Providence, RI 02903"
Drug Development,MA Bio Member,EPIZYME INC,Robert,Gould,President/CEO,325 Vassar St,,Cambridge,MA,02139,45,"325 Vassar St, Cambridge, MA 02139"
Research Products & Instrumentation,,EQUIPMENT FOR TECHNOLOGY,Jack,Ubersax,President,1 Lodge Ln,,Wilbraham,MA,01095,1,"1 Lodge Ln, Wilbraham, MA 01095"
Medical Device,,EQUUSYS INC,Amy,Davies,CEO,One Broadway,,Cambridge,MA,02142,7,"One Broadway, Cambridge, MA 02142"
Research Products & Instrumentation,,ERLAB INC,,,,388 Newburyport Tpke,,Rowley,MA,01969,10,"388 Newburyport Tpke, Rowley, MA 01969"
Research Products & Instrumentation,,ESOURCE OPTICS,Richard,Belinski,Optics Sales Manager,1225 Providence Rd,PMB 126,Whitinsville,MA,01588,3,"1225 Providence Rd PMB 126, Whitinsville, MA 01588"
Contract Research & Manufacturing,,ESTERN MEDICAL CRO,Jorge,Estrella,President/Chief Medical Officer,40 Warren St,3rd Floor,Boston,MA,02129,0,"40 Warren St 3rd Floor, Boston, MA 02129"
Medical Device,MA Bio Member,ETEX CORP,Shane,Doyle,Director Marketing,675 Massachusetts Ave,12th Floor,Cambridge,MA,02139,50,"675 Massachusetts Ave 12th Floor, Cambridge, MA 02139"
Contract Research & Manufacturing,,ETHIDE LABORATORIES INC,Michael,Sprague,Lab Manager,91 Hill Farm Rd,,Coventry,RI,02816,12,"91 Hill Farm Rd, Coventry, RI 02816"
BioInformatics,,EUREKACONNECT LLC,Curtis,Sprouse,President/CEO,2 Central St,Suite 18,Ipswich,MA,01938,4,"2 Central St Suite 18, Ipswich, MA 01938"
Drug Development,,EUTHYMICS BIOSCIENCE INC,Anthony,McKinney,President/CEO/Co-Founder,43 Thorndike St,Suite S1-3,Cambridge,MA,02141,12,"43 Thorndike St Suite S1-3, Cambridge, MA 02141"
Drug Development,MA Bio Member,EUTROPICS PHARMACEUTICALS,Michael,Cardone,CEO,767-C Concord Ave,,Cambridge,MA,02138,10,"767-C Concord Ave, Cambridge, MA 02138"
Research Products & Instrumentation,MA Bio Member,EXALPHA BIOLOGICALS,John,Castracane,President,2 Shaker Rd,Suite 8101,Shirley,MA,01464,6,"2 Shaker Rd Suite 8101, Shirley, MA 01464"
Drug Development,MA Bio Member,EXCELIMMUNE,Quinton,Zondervan,CEO,12-B Cabot Rd,,Woburn,MA,01801,20,"12-B Cabot Rd, Woburn, MA 01801"
Research Products & Instrumentation,,EXCELLIMS CORP,Paul,Eisenbraun,Chairman,20 Main St,Suite A,Acton,MA,01720,14,"20 Main St Suite A, Acton, MA 01720"
Medical Device,,EXERGEN CORP,Francesco,Pompei,CEO,400 Pleasant St,,Watertown,MA,02472,55,"400 Pleasant St, Watertown, MA 02472"
Medical Device,MA Bio Member,EXOGENESIS CORP,Richard,Svrluga,President/CEO,20 Fortune Dr,,Billerica,MA,01821,20,"20 Fortune Dr, Billerica, MA 01821"
Drug Development,,EXTEND BIOSCIENCES INC,Laura,Hales,Founder,,,Cambridge,MA,,2,", Cambridge, MA "
Medical Device,MA Bio Member,EYEGATE PHARMACEUTICALS,Stephen,From,President/CEO,100 Beaver St,,Waltham,MA,02453,0,"100 Beaver St, Waltham, MA 02453"
Medical Device,,F-SPOON CO,Mary Jane,Scholz,President,32 Grandhill Dr,,Dover,MA,02030,1,"32 Grandhill Dr, Dover, MA 02030"
Medical Device,,FARM DESIGN INC,Jack,Harkins,President,12 Silver Lake Rd,,Hollis,NH,03049,50,"12 Silver Lake Rd, Hollis, NH 03049"
Medical Device,,FCI OPHTHALMICS,,,,PO Box 465,,Marshfield Hills,MA,02051,5,"PO Box 465, Marshfield Hills, MA 02051"
Medical Device,,FEECO HK LTD,Kim,Shepard,Chairman,88 Goodwin Rd,,Eliot,ME,03903,5,"88 Goodwin Rd, Eliot, ME 03903"
Research Products & Instrumentation,,FIREFLY BIOWORKS INC,Davide,Marini,CEO,One Kendall Sq,"Bldg 1400W, 3rd Floor",Cambridge,MA,02139,0,"One Kendall Sq Bldg 1400W, 3rd Floor, Cambridge, MA 02139"
